distance_m,hood_angle_deg,flywheel_rpm
0.5,63,3871.9220285673127
0.75,53,3642.8363275524193
1.0,45,3934.0689431490446
1.25,45,2007.5961507594668
1.5,45,1779.2496250657343
1.75,45,1721.1551626277067
2.0,45,1716.968449633849
2.25,45,1735.9523921194886
2.5,45,1766.4491018210977
2.75,45,1803.1149322766448
3.0,45,1843.1950391421562
3.25,45,1885.152167034902
3.5,45,1928.079436599654
3.75,45,1971.420284090835
4.0,45,2014.823651686836
4.25,45,2058.06425026774
4.5,45,2100.996388709713
4.75,45,2143.5261200135674
5.0,45,2185.593857305024
5.25,45,2227.1632115947277
5.5,45,2268.2136508469707
5.75,45,2308.7355733733866
6.0,45,2348.726944370043
